vehicle_id,brand,model,year,type,created_date,purchase_cost
101,Toyota,Corolla,2018,Sedan,12-03-2018,15000
102,Ford,F-150,2020,Truck,20-06-2020,27000
103,BMW,320i,2019,Sedan,01-05-2019,35000
104,Tesla,Model 3,2021,Sedan,15-01-2021,40000
105,Toyota,Camry,2017,Sedan,30-08-2017,16000
106,Nissan,Rogue,2020,SUV,10-03-2020,23000
107,Ford,Escape,2019,SUV,25-09-2019,22000
108,BMW,X5,2020,SUV,17-02-2020,50000
109,Honda,Civic,2018,Sedan,14-07-2018,17000
110,Tesla,Model X,2021,SUV,05-04-2021,90000
